,naver_pk
739,"37.5743477682, 127.0224047045"
740,"37.5706230543, 127.0035763245"
741,"37.5715807847, 127.0078632829"
742,"37.5714882664, 126.9899451076"
743,"37.5708495566, 126.9900123191"
744,"37.5709613107, 126.9903815522"
745,"37.5744343522, 127.0170178960"
746,"37.5714423048, 127.0111773532"
747,"nan, nan"
748,"37.5726206862, 127.0114909783"
749,"37.5708024548, 126.9873985029"
750,"37.5724138552, 127.0077059106"
751,"37.5722528301, 126.9897044574"
752,"37.5706487303, 126.9864524337"
753,"nan, nan"
754,"37.5750369080, 126.9821722259"
755,"37.5723592110, 127.0069620747"
756,"37.5711772965, 126.9895264331"
757,"37.5712773463, 126.9899788687"
758,"37.5689504073, 126.9919655050"
759,"nan, nan"
760,"nan, nan"
761,"37.5690476792, 126.9682349528"
762,"37.5728605813, 126.9900545004"
763,"37.5709617749, 126.9814379838"
764,"nan, nan"
765,"37.5738044677, 127.0209357570"
766,"37.5757216155, 126.9968108159"
